zipcode,med_income,pop
14506,117235,1292
14507,62516,1451
14510,49304,6503
14511,66200,432
14512,60553,4686
14513,41618,13075
14514,71443,7053
14516,54698,2021
14517,45704,2692
14519,69019,11701
14521,52228,3605
14522,51002,9347
14525,66638,2754
14526,88174,20721
14527,51667,12658
14530,53154,5299
14532,63850,4353
14533,62582,2200
14534,115985,31547
14536,45768,761
14541,57812,4101
14543,89246,2968
14544,62723,2089
14545,64533,202
14546,64675,4656
14548,61288,4126
14550,50732,1515
14551,50367,5452
14555,51928,1113
14559,79608,17808
14560,60865,2039
14561,75062,2860
14564,103026,16084
14568,67507,5778
14569,52630,5910
14571,50393,1200
14572,47803,4854
14580,80139,52728
14586,81528,11107
14589,56916,7660
14590,53058,5265
14591,64297,1674
14604,17515,2216
14605,19491,11587
14606,42490,26627
14607,45914,15937
14608,22103,12375
14609,45603,41182
14610,65165,13766
14611,28294,17686
14612,63413,34375
14613,28999,14589
14614,21804,1303
14615,41594,15341
14616,52032,28030
14617,66414,22249
14618,91320,22034
14619,39370,13812
14620,48308,24773
14621,27114,32565
14622,54909,11737
14623,58843,28751
14624,65409,36893
14625,79571,10462
14626,62384,30983
14627,,2316
14642,44227,331
14701,40158,38562
14706,50355,7262
14707,52442,124
14708,58036,171
14709,50745,1759
14710,57888,3395
14711,46386,1487
14712,58450,3223
14714,52335,394
14715,44178,2800
14716,44145,2589
14717,45398,980
14718,55659,2241
14719,45100,3458
14720,41466,581
14721,48968,97
14722,94873,153
14723,50505,1301
14724,51842,2602
14726,39925,1980
14727,50067,5174
14728,56628,991
14729,60346,820
14731,50000,1572
14733,43533,3679
14735,45456,2550
14736,54829,285
14737,43758,4164
14738,51215,3597
14739,39660,2881
14740,61010,1344
14741,52526,1863
14743,44878,1723
14744,53894,1927
14747,46337,2241
14748,43582,610
14750,57339,4275
14753,38375,1213
14754,47209,812
14755,41553,2746
14757,55115,3534
14760,43085,18269
14767,53651,1898
14769,42258,853
14770,52594,2702
14772,40114,4160
14775,51908,2339
14777,44930,402
14779,31389,6831
14781,48042,2021
14782,52452,2246
14784,47585,1019
14787,50736,4887
14801,46812,5376
14802,47244,3452
14803,50485,1407
14804,59295,1346
14805,54988,1120
14806,53453,1993
14807,51106,2906
14808,49693,403
14809,44325,2351
14810,44175,12293
14812,60930,3336
14813,43279,2740
14814,71365,1941
14815,54276,1165
14816,69001,529
14817,67591,2684
14818,53569,1770
14819,46609,765
14820,45550,746
14821,53661,3233
14822,43655,1014
14823,50115,3654
14824,51769,723
14825,52551,616
14826,48832,2287
14830,60144,19277
14836,51738,1058
14837,54934,5378
14838,60064,1827
14839,59467,756
14840,61014,3225
14841,59067,824
14842,60287,915
14843,43407,12543
14845,67864,20445
